Date,Open,High,Low,Close,Adj Close,Volume
2018-07-13,48.080002,48.400002,47.480000,48.080002,41.174984,9747600
2018-07-16,48.220001,49.090000,48.200001,48.900002,41.877216,8724000
2018-07-17,49.000000,49.450001,48.490002,49.180000,42.117012,11138300
2018-07-18,50.750000,51.500000,50.049999,50.560001,43.298817,18407300
2018-07-19,50.500000,50.970001,49.779999,49.849998,42.690784,11363600
2018-07-20,49.650002,50.590000,49.590000,50.270000,43.050465,8910000
2018-07-23,50.270000,51.000000,50.250000,50.740002,43.452972,7728900
2018-07-24,50.980000,51.529999,50.840000,50.980000,43.658501,7254900
2018-07-25,50.980000,51.110001,50.410000,51.040001,43.709885,7483100
2018-07-26,51.220001,51.360001,50.919998,50.990002,43.667068,5524900
2018-07-27,51.090000,51.299999,50.730000,51.049999,43.718445,7252100
2018-07-30,50.880001,51.310001,50.430000,50.900002,43.847668,10123700
2018-07-31,50.959999,51.020000,50.220001,50.560001,43.554771,9714900
2018-08-01,50.939999,51.180000,50.040001,50.180000,43.227421,9194600
2018-08-02,49.810001,50.029999,49.250000,49.810001,42.908684,7882500
2018-08-03,49.970001,50.160000,49.730000,49.910000,42.994831,5426100
2018-08-06,49.889999,50.119999,49.570000,49.990002,43.063744,5086900
2018-08-07,50.150002,50.840000,50.099998,50.130001,43.184353,5632300
2018-08-08,50.130001,50.380001,49.959999,50.119999,43.175735,5884100
2018-08-09,50.099998,50.250000,49.410000,49.439999,42.589951,7583400
2018-08-10,48.880001,48.889999,48.139999,48.389999,41.685425,14321600
2018-08-13,48.340000,48.480000,47.279999,47.349998,40.789528,11445900
2018-08-14,47.500000,48.040001,47.400002,47.860001,41.228863,8695500
2018-08-15,47.259998,47.590000,47.020000,47.450001,40.875679,9496100
2018-08-16,47.830002,48.590000,47.799999,48.299999,41.607910,8264500
2018-08-17,48.169998,48.610001,48.169998,48.369999,41.668201,5854500
2018-08-20,48.330002,48.590000,48.150002,48.290001,41.599281,7898200
2018-08-21,48.119999,48.939999,48.009998,48.540001,41.814651,9632000
2018-08-22,48.360001,48.660000,48.240002,48.599998,41.866329,4952000
2018-08-23,48.419998,48.720001,47.980000,48.130001,41.461456,7699300
2018-08-24,48.340000,48.610001,48.099998,48.139999,41.470070,5620600
2018-08-27,48.480000,50.099998,48.419998,49.889999,42.977604,13317400
2018-08-28,50.049999,50.430000,49.880001,50.000000,43.072361,7419100
2018-08-29,50.000000,50.189999,49.580002,49.950001,43.029285,7856700
2018-08-30,49.770000,49.889999,49.200001,49.299999,42.469341,11399900
2018-08-31,49.090000,49.090000,48.570000,48.830002,42.064465,7698400
2018-09-04,48.860001,48.910000,48.180000,48.709999,41.961094,8548700
2018-09-05,48.650002,49.049999,48.509998,48.720001,41.969711,5527500
2018-09-06,48.549999,48.820000,47.680000,47.930000,41.289173,7990500
2018-09-07,48.020000,48.400002,47.880001,48.220001,41.538990,7285200
2018-09-10,48.369999,48.470001,47.910000,47.939999,41.297779,4925000
2018-09-11,47.709999,48.040001,47.389999,47.860001,41.228863,5011700
2018-09-12,47.790001,48.099998,47.259998,47.480000,40.901508,6231800
2018-09-13,47.730000,48.099998,47.500000,47.720001,41.108261,8380100
2018-09-14,47.889999,48.509998,47.849998,48.189999,41.513138,6955500
2018-09-17,48.500000,48.540001,47.560001,47.680000,41.073803,6726500
2018-09-18,47.860001,48.040001,47.549999,47.849998,41.220245,7082500
2018-09-19,47.880001,49.360001,47.880001,49.099998,42.297062,12489100
2018-09-20,49.750000,50.369999,49.709999,49.880001,42.968987,11810000
2018-09-21,49.930000,49.970001,49.150002,49.410000,42.564110,21450400
2018-09-24,49.369999,49.450001,48.480000,48.560001,41.831882,7917600
2018-09-25,48.700001,49.189999,48.250000,48.279999,41.590675,9007500
2018-09-26,48.360001,48.490002,47.540001,47.700001,41.091034,8443100
2018-09-27,47.830002,48.160000,47.549999,47.770000,41.151337,12204900
2018-09-28,47.419998,47.549999,46.400002,46.570000,40.117596,14187300
2018-10-01,46.919998,47.310001,46.520000,46.630001,40.169281,9710100
2018-10-02,46.700001,46.959999,46.150002,46.630001,40.169281,9589100
2018-10-03,47.169998,47.730000,46.980000,47.110001,40.582779,8985300
2018-10-04,47.380001,47.930000,46.970001,47.270000,40.720615,7722200
2018-10-05,47.380001,47.529999,46.500000,46.750000,40.272663,7938900
2018-10-08,46.509998,47.220001,46.299999,47.020000,40.505253,7054500
2018-10-09,46.700001,46.810001,45.939999,46.160000,39.764400,9999500
2018-10-10,46.340000,46.410000,44.520000,44.619999,38.437775,14143800
2018-10-11,44.180000,44.779999,43.169998,43.490002,37.464352,21746900
2018-10-12,44.299999,44.570000,42.880001,43.430000,37.412655,16049300
